Name,Path,Data Type,Logical Address,Comment
"Botao_liga","Default tag table","Bool","%I0.0","Botao de impulso para partida do sistema (NA)"
"Botao_desliga","Default tag table","Bool","%I0.1","Botao de impulso para parada natural (NF)"
"Botao_reset","Default tag table","Bool","%I0.2","Botao de impulso para reconhecimento de falha (NF)"
"Botao_emergencia","Default tag table","Bool","%I0.3","Botao cogumelo de parada imediata (NF com retencao)"
"AI_Nivel","Default tag table","Int","%IW64","Leitura analogica de nivel do reservatorio (4-20mA)"
"AI_Pressao","Default tag table","Int","%IW66","Leitura analogica de pressao interna do cilindro (4-20mA)"
"AI_Temperatura","Default tag table","Int","%IW68","Leitura analogica de temperatura interna do trocador (4-20mA)"
"Valvula_Agua","Default tag table","Bool","%Q0.0","Valvula ON/OFF de abastecimento continuo de agua"
"Valvula_Vapor","Default tag table","Bool","%Q0.1","Valvula principal de vapor para linha de producao"
"Valvula_Alivio","Default tag table","Bool","%Q0.2","Valvula de alivio rapido de sobrepressao e emergencia"
"Queimador_1","Default tag table","Bool","%Q0.3","Acionamento do Queimador 1"
"Queimador_2","Default tag table","Bool","%Q0.4","Acionamento do Queimador 2"
"Queimador_3","Default tag table","Bool","%Q0.5","Acionamento do Queimador 3"
"Queimador_4","Default tag table","Bool","%Q0.6","Acionamento do Queimador 4"
"Queimador_5","Default tag table","Bool","%Q0.7","Acionamento do Queimador 5"
"Queimador_6","Default tag table","Bool","%Q1.0","Acionamento do Queimador 6"
"Lamp_Sistema_Lig","Default tag table","Bool","%Q1.1","Sinalizacao luminosa: Sistema em operacao"
"Lamp_Alarme_Emerg","Default tag table","Bool","%Q1.2","Sinalizacao luminosa: Alarme de Emergencia ativado"
